Id,Name,DisplayName,Path,LastModified,Size,MediaType,IsFolder,ETag,FileLocator,LastModifiedBy
1I9ARzxu0nlEqaceOofYnAFQUdO7VMPx_,Teste2,Teste2,/Udemy/Power-Platform/PowerAppsChallenges/Teste2,2023-01-13T02:55:51.733Z,315,application/octet-stream,False,"""MTY3MzU3ODU1MTczMw""",1I9ARzxu0nlEqaceOofYnAFQUdO7VMPx_,henrique aluno
1L9I4TkzWHN2LdXByySWuHYEb5RIDIi0y,Challenge01,Challenge01,/Udemy/Power-Platform/PowerAppsChallenges/Challenge01,2023-01-13T01:33:39.888Z,0,,True,"""MTY3MzU3MzYxOTg4OA""",1L9I4TkzWHN2LdXByySWuHYEb5RIDIi0y,henrique aluno
